source,target
Pop,Pop/R&B
Pop,"R&B, Pop"
Pop,"Pop, R&B"
Pop,K-Pop
"Music, Food & Beverage, Performing Arts","Food & Beverage, Performing Arts"
"Music, Food & Beverage, Performing Arts","Food & Beverage, Performing Arts, Music"
"Music, Food & Beverage, Performing Arts","Music, Food & Beverage, Performing Arts, Electronic"
Folk-pop,"Folk, Pop"
Black metal,Black Metal
"Music, Theater",Music-theater
"Music, Theater",Music Theater
Jazz,"R&B, Jazz"
Jazz,jazz
Jazz,"Jazz, R&B"
Rock,rock
Rock,Arena Rock
"Blues, R&B","R&B, Blues"
"Country, Rock, Hip-Hop","Country, Rock, Hip-Hop, Pop"
"Country, Rock, Hip-Hop","Country, Rock, Hip Hop"
Techno,"Techno, Music"
"Health, Wellness, & Mindfulness","Arts, Health, Wellness & Mindfulness"
"Health, Wellness, & Mindfulness","Health, Wellness & Mindfulness"
"Health, Wellness, & Mindfulness","Arts, Health, Wellness, & Mindfulness, STEM"
EDM,edm
Theater,"Comedy, Absurdist Theater"
Theater,Theater.
"Musical, Comedy",Musical comedy
"Musical, Comedy",Musical Comedy
Performing Arts,"Ballet, Performing arts"
Performing Arts,Performing arts
Performing Arts,"Film, Performing Arts"
Performing Arts,"Theater, Shakespeare, Performing Arts"
Performing Arts,"Theater, Performing Arts"
Performing Arts,"Performing Arts, Drama"
Stand-Up Comedy,"Comedy, Stand-Up"
Stand-Up Comedy,Comedy > Stand Up
Stand-Up Comedy,Stand Up Comedy
Stand-Up Comedy,stand up comedy
Stand-Up Comedy,Stand-up Comedy
Stand-Up Comedy,"Comedy, Stand-Up Comedy"
Stand-Up Comedy,"Comedy, Stand up"
Stand-Up Comedy,stand-up comedy
Stand-Up Comedy,"Comedy, Stand-up Comedy"
Stand-Up Comedy,"Comedy, Stand-up"
Stand-Up Comedy,Stand-up
Stand-Up Comedy,Stand-up comedy
"Hardcore punk, rock",Hardcore / Punk / Rock
"Hardcore punk, rock","Hardcore punk, Rock"
"Hardcore punk, rock","Post-Hardcore, Hardcore Punk, Rock"
"Hardcore punk, rock",Hardcore Punk
"Hardcore punk, rock","Post-hardcore, Punk Rock"
Sports,"Music, Sports"
Country music,Country Music
Country music,"Country music, Bluegrass"
Country music,"Country Music, Sertanejo"
Country music,"Country, Music"
"House, Deep House",Deep House
"House, Deep House","Deep House, Electronic"
"Comedy, Improv","Comedy, Improv, Musical"
Live Music,"Reggae, live music"
Live Music,"Film, Live Music"
Live Music,Live music
Live Music,"Live Music, Vinahouse"
Live Music,"Polka, Live Music"
Live Music,"jazz, live music"
Live Music,"Live Music, Q&As"
Live Music,live music
Country,"Country, R&B"
Bollywood,"Haryanvi, Bollywood"
Classical,"Classical, Fado"
Country/Folk/Bluegrass,"Country, Folk, Bluegrass"
Post-punk,Post Punk
"gothic, industrial, darkwave",gothic - industrial - darkwave
Stand-up comedy,"Comedy, Stand-Up"
Stand-up comedy,Comedy > Stand Up
Stand-up comedy,Stand Up Comedy
Stand-up comedy,stand up comedy
Stand-up comedy,Stand-up Comedy
Stand-up comedy,"Comedy, Stand-Up Comedy"
Stand-up comedy,"Comedy, Stand up"
Stand-up comedy,stand-up comedy
Stand-up comedy,"Comedy, Stand-up Comedy"
Stand-up comedy,"Comedy, Stand-up"
Stand-up comedy,Stand-up
Asian music,"Cultural, Asian music"
"Hip Hop, R&B",Hip-hop
"Hip Hop, R&B",Hip-Hop & R&B
"Hip Hop, R&B",hip hop
"Hip Hop, R&B","hip-hop, R&B"
"Hip Hop, R&B","hip hop, R&B"
"Hip Hop, R&B","Hip-Hop, Classical"
"Hip Hop, R&B",Female hip-hop
"Hip Hop, R&B","Hip-Hop, R&B"
"Hip Hop, R&B","R&B, hip-hop"
"Hip Hop, R&B",Hip-Hop
"Hip Hop, R&B","Hip-hop, R&B, Soulection, House"
"Hip Hop, R&B",Hip hop
"Hip Hop, R&B","Hip-hop, R&B"
"Hip Hop, R&B","R&B, Hip Hop"
"Hip Hop, R&B","R&B, Hip-Hop"
Roots-rock,"Roots Rock, Swing"
Roots-rock,"Ska, Roots Rock"
Roots-rock,roots-rock
Roots-rock,Roots rock
"Hard Rock, Heavy Metal","Rock, Heavy Metal"
"Hard Rock, Heavy Metal","Hard rock, heavy metal"
"Hard Rock, Heavy Metal","Pop-punk, Alternative Rock, Hard Rock, Heavy Metal"
"Hard Rock, Heavy Metal","Rock, Hard rock, Heavy metal"
"Hard Rock, Heavy Metal","Hard rock, Heavy metal"
"Food & Beverage, Performing Arts","Food & Beverage, Performing Arts, Music"
"Food & Beverage, Performing Arts","Music, Food & Beverage, Performing Arts, Electronic"
Dance/Electronic,"Dance, Electronic"
"Rock, Soul","R&B, Rock, Soul"
"Rock, Soul","Rock, Soul, R&B"
Indie-rock,Indie-Rock
Indie-rock,Indie rock
Indie-rock,indie rock
Musical Theatre,"Musical, Theatre"
Musical Theatre,Musical theatre
"Electronic, Hip-Hop, Trap, R&B","Hip-hop, trap, rock, pop"
"Electronic, Hip-Hop, Trap, R&B","hip hop, trap"
Alt-rock,Alt rock
Dance,Square Dance
Dance,"Dance, Cardio"
"Yoga, Live music, Dance","Yoga, Live Music"
"Fiction, Documentary, Animation","Documentary, Animation"
"Afrobeats, Amapiano, Dancehall","Afrobeats, Amapiano, Dancehall, R&B"
"Afrobeats, Amapiano, Dancehall","Reggae, Afrobeats, Amapiano, Dancehall"
"Video Game Music, Classical",Video Game Music
Film Festival,Film festival
"R&B, Soul, Jazz, Funk","R&B, pop, soul, jazz"
"R&B, Soul, Jazz, Funk","Pop/Soul, Jazz-Funk"
"R&B, Soul, Jazz, Funk","soul, jazz, funk"
"R&B, Soul, Jazz, Funk","Soul, Jazz, Funk"
"Pop, Alternative","Pop, Alternative, R&B"
"Pop, Alternative","Rock, Pop, Alternative"
Electronic,Electronic R&B
Electronic,"Electronic, R&B"
"Pop, EDM",Pop & EDM
"Pop, EDM","K-Pop, EDM"
"poetry, literary arts","Poetry, Literary Arts"
"Jazz, R&B, Jazz Fusion, Classical, Country, Electronic, Funk, Soul, Disco, Boogie, Rock-and-Roll","R&B, Jazz, Jazz Fusion, Classical, Country, Electronic, Funk, Soul, Disco, Boogie, Rock-and-Roll"
"Alternative, Rock, Indie","Alternative Rock, Rock"
"Alternative, Rock, Indie","K-pop, Pop"
"Alternative, Rock, Indie","Indie Pop, Pop Rock"
"Alternative, Rock, Indie","Indie Pop, Pop"
"Alternative, Rock, Indie","Alternative Rock, Indie"
"Alternative, Rock, Indie",Indie / Alternative / Rock
"Alternative, Rock, Indie","indie, alternative"
"Alternative, Rock, Indie","Alternative Rock, Indie Rock, Pop"
"Alternative, Rock, Indie","Pop, K-Pop"
"Alternative, Rock, Indie","Indie Pop, Indie Rock"
"Alternative, Rock, Indie","K-Pop, Pop"
"Alternative, Rock, Indie","Alternative Rock, Indie Rock"
"Alternative, Rock, Indie","Alternative rock, indie rock"
"Alternative, Rock, Indie","Pop Rock, Indie Pop"
"Alternative, Rock, Indie","K-Pop, R&B, Pop"
"Alternative, Rock, Indie","Power Pop, Pop, Pop Punk"
"Alternative, Rock, Indie","Pop, Indie"
"Alternative, Rock, Indie","Country Pop, Indie Pop"
"Alternative, Rock, Indie","Pop, Indie Pop"
"Alternative, Rock, Indie","Rock, Indie Pop"
"Alternative, Rock, Indie","Indie Rock, Indie Pop"
"Alternative, Rock, Indie","Alternative Rock, Indie Pop, Indie Rock"
"Alternative, Rock, Indie","Folk Rock, Indie Rock"
"Alternative, Rock, Indie",Indie pop/rock
"Alternative, Rock, Indie","Pop, Pop Punk"
"Alternative, Rock, Indie","Pop, Indie Rock"
"Alternative, Rock, Indie","Rock, Indie Rock"
"Alternative, Rock, Indie","Pop, Indie-rock"
"Alternative, Rock, Indie","Alternative, rock, indie"
"Alternative, Rock, Indie",Indie pop-rock
"Alternative, Rock, Indie","Folk-pop, Indie-pop"
"Alternative, Rock, Indie","Rock, Indie, Alternative"
"Alternative, Rock, Indie","Pop, K-pop, R&B"
"Alternative, Rock, Indie","Indie, Alternative"
"Alternative, Rock, Indie","Punk rock, Indie rock"
"Alternative, Rock, Indie","Rock, Indie Alternative Rock"
"Alternative, Rock, Indie","Alternative Rock, Indie Pop"
"Alternative, Rock, Indie","Rock, Indie & Alternative"
"Alternative, Rock, Indie","Alternative Rock, Indie Rock, Rock"
"Alternative, Rock, Indie","Pop, Indie-Rock"
"Alternative, Rock, Indie","K-pop, Pop Punk"
"Alternative, Metal",Alternative metal
"Alternative, Metal",Alternative Metal
"Comedy, Live Performance","Music, Comedy, Live performance"
Punk Rock,"Punk, Rock"
Punk Rock,Punk rock
Children's music,Children's Music
"Pop, hip-hop, new wave, R&B","Dance, Pop, Hip-hop, New Wave, R&B"
"Pop, hip-hop, new wave, R&B","Dance, Pop, Hip-Hop, New Wave, R&B"
"Celtic, Traditional Irish, Dance","Celtic, Traditional Irish"
Hip-Hop/Rap,"Electronic, Hip-Hop/Rap"
Hip-Hop/Rap,Hip-Hop / Rap
Hip-Hop/Rap,"Hip-Hop, Rap"
Hip-Hop/Rap,Hip-hop/Rap
Hip-Hop/Rap,Hip Hop/Rap
Hip-Hop/Rap,"Hip hop, Rap"
Hip-Hop/Rap,"Hip-Hop/Rap, Jazz"
Hip-Hop/Rap,"Hip-Hop/Rap, Comedy"
Hip-Hop/Rap,"Hip-hop, Rap"
Hip-Hop/Rap,"Hip-Hop/Rap, Indie Rock"
Hip-Hop/Rap,"Hip Hop, Rap"
Contemporary jazz,Contemporary Jazz
"Indie Pop, Pop","Alternative Rock, Rock"
"Indie Pop, Pop","K-pop, Pop"
"Indie Pop, Pop","Indie Pop, Pop Rock"
"Indie Pop, Pop","Alternative Rock, Indie"
"Indie Pop, Pop",Indie / Alternative / Rock
"Indie Pop, Pop","indie, alternative"
"Indie Pop, Pop","Alternative Rock, Indie Rock, Pop"
"Indie Pop, Pop","Pop, K-Pop"
"Indie Pop, Pop","Indie Pop, Indie Rock"
"Indie Pop, Pop","K-Pop, Pop"
"Indie Pop, Pop","Alternative Rock, Indie Rock"
"Indie Pop, Pop","Alternative rock, indie rock"
"Indie Pop, Pop","Pop Rock, Indie Pop"
"Indie Pop, Pop","K-Pop, R&B, Pop"
"Indie Pop, Pop","Power Pop, Pop, Pop Punk"
"Indie Pop, Pop","Pop, Indie"
"Indie Pop, Pop","Country Pop, Indie Pop"
"Indie Pop, Pop","Pop, Indie Pop"
"Indie Pop, Pop","Rock, Indie Pop"
"Indie Pop, Pop","Indie Rock, Indie Pop"
"Indie Pop, Pop","Alternative Rock, Indie Pop, Indie Rock"
"Indie Pop, Pop","Folk Rock, Indie Rock"
"Indie Pop, Pop",Indie pop/rock
"Indie Pop, Pop","Pop, Pop Punk"
"Indie Pop, Pop","Pop, Indie Rock"
"Indie Pop, Pop","Rock, Indie Rock"
"Indie Pop, Pop","Pop, Indie-rock"
"Indie Pop, Pop","Alternative, rock, indie"
"Indie Pop, Pop",Indie pop-rock
"Indie Pop, Pop","Folk-pop, Indie-pop"
"Indie Pop, Pop","Rock, Indie, Alternative"
"Indie Pop, Pop","Pop, K-pop, R&B"
"Indie Pop, Pop","Indie, Alternative"
"Indie Pop, Pop","Punk rock, Indie rock"
"Indie Pop, Pop","Rock, Indie Alternative Rock"
"Indie Pop, Pop","Alternative Rock, Indie Pop"
"Indie Pop, Pop","Rock, Indie & Alternative"
"Indie Pop, Pop","Alternative Rock, Indie Rock, Rock"
"Indie Pop, Pop","Pop, Indie-Rock"
"Indie Pop, Pop","K-pop, Pop Punk"
"Indie Pop, Indie Rock","Alternative Rock, Rock"
"Indie Pop, Indie Rock","K-pop, Pop"
"Indie Pop, Indie Rock","Indie Pop, Pop Rock"
"Indie Pop, Indie Rock","Alternative Rock, Indie"
"Indie Pop, Indie Rock",Indie / Alternative / Rock
"Indie Pop, Indie Rock","indie, alternative"
"Indie Pop, Indie Rock","Alternative Rock, Indie Rock, Pop"
"Indie Pop, Indie Rock","Pop, K-Pop"
"Indie Pop, Indie Rock","K-Pop, Pop"
"Indie Pop, Indie Rock","Alternative Rock, Indie Rock"
"Indie Pop, Indie Rock","Alternative rock, indie rock"
"Indie Pop, Indie Rock","Pop Rock, Indie Pop"
"Indie Pop, Indie Rock","K-Pop, R&B, Pop"
"Indie Pop, Indie Rock","Power Pop, Pop, Pop Punk"
"Indie Pop, Indie Rock","Pop, Indie"
"Indie Pop, Indie Rock","Country Pop, Indie Pop"
"Indie Pop, Indie Rock","Pop, Indie Pop"
"Indie Pop, Indie Rock","Rock, Indie Pop"
"Indie Pop, Indie Rock","Indie Rock, Indie Pop"
"Indie Pop, Indie Rock","Alternative Rock, Indie Pop, Indie Rock"
"Indie Pop, Indie Rock","Folk Rock, Indie Rock"
"Indie Pop, Indie Rock",Indie pop/rock
"Indie Pop, Indie Rock","Pop, Pop Punk"
"Indie Pop, Indie Rock","Pop, Indie Rock"
"Indie Pop, Indie Rock","Rock, Indie Rock"
"Indie Pop, Indie Rock","Pop, Indie-rock"
"Indie Pop, Indie Rock","Alternative, rock, indie"
"Indie Pop, Indie Rock",Indie pop-rock
"Indie Pop, Indie Rock","Folk-pop, Indie-pop"
"Indie Pop, Indie Rock","Rock, Indie, Alternative"
"Indie Pop, Indie Rock","Pop, K-pop, R&B"
"Indie Pop, Indie Rock","Indie, Alternative"
"Indie Pop, Indie Rock","Punk rock, Indie rock"
"Indie Pop, Indie Rock","Rock, Indie Alternative Rock"
"Indie Pop, Indie Rock","Alternative Rock, Indie Pop"
"Indie Pop, Indie Rock","Rock, Indie & Alternative"
"Indie Pop, Indie Rock","Alternative Rock, Indie Rock, Rock"
"Indie Pop, Indie Rock","Pop, Indie-Rock"
"Indie Pop, Indie Rock","K-pop, Pop Punk"
"R&B, House","R&B, house"
"R&B, House",House
"R&B, House",Haunted House
"R&B, Blues-Rock, Alternative Rock","Indie, Rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","Pop, Rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","Indie Rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","indie rock, alternative, electronic"
"R&B, Blues-Rock, Alternative Rock","Indie Rock, Alternative Rock"
"R&B, Blues-Rock, Alternative Rock","Folk, Indie Rock, Alternative Rock"
"R&B, Blues-Rock, Alternative Rock","Pop, Rock, Alternative Rock"
"R&B, Blues-Rock, Alternative Rock","Rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","Rock, Alternative Rock"
"R&B, Blues-Rock, Alternative Rock",Rock/Alternative
"R&B, Blues-Rock, Alternative Rock","Indie rock, alternative rock, folk"
"R&B, Blues-Rock, Alternative Rock","Folk Rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","Pop-rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","Blues-Rock, Alternative"
"R&B, Blues-Rock, Alternative Rock","Folk Rock, Alternative Rock"
Indie rock,Indie-Rock
Indie rock,indie rock
"Drag, Burlesque","Drag, Burlesque, Broadway"
Bluegrass,bluegrass
"Folk, Blues",Folk-blues
"Folk, Blues",Folk-Blues
"Music, Dance, South American","Jazz, South American Nuevo Cancion, Levantine"
"Heavy Metal, Metalcore","Metalcore, Heavy Metal"
"Heavy Metal, Metalcore","Metal, Metalcore"
"Pop, Rock, Classical, Opera, Tribute","Pop, Rock, Classical/Opera"
"Reggae, Dancehall","Reggae, Dancehall, House"
Indie & Alt,"Rock, Indie, Alt"
Indie & Alt,"Rock, Indie & Alt"
Indie & Alt,"Indie, Alt Rock"
Indie & Alt,"Rock, Indie & Alt, Country"
R&B/Soul/Funk,"Soul, R&B, Funk"
R&B/Soul/Funk,"Soul, Funk, R&B"
R&B/Soul/Funk,"Soul, Funk"
Rap,Cloud rap
Rap,"Comedy, Rap"
Rap,"Rap, Pop"
Hip-hop,"R&B, Hip Hop"
Hip-hop,Hip-Hop & R&B
Hip-hop,hip hop
Hip-hop,"hip-hop, R&B"
Hip-hop,"hip hop, R&B"
Hip-hop,"Hip-Hop, Classical"
Hip-hop,Female hip-hop
Hip-hop,"Hip-Hop, R&B"
Hip-hop,"R&B, hip-hop"
Hip-hop,Hip-Hop
Hip-hop,"Hip-hop, R&B, Soulection, House"
Hip-hop,Hip hop
Hip-hop,"Hip-hop, R&B"
Hip-hop,"R&B, Hip-Hop"
"Go-Go, hip-hop",Go-go
"Go-Go, hip-hop",Go Go
"Go-Go, hip-hop","Jazz, Go-Go"
"Go-Go, hip-hop","Hood Rock, Go-Go"
"Go-Go, hip-hop",Go-Go
"Go-Go, hip-hop","Spoken Word, Go-Go"
"Country, Rock, Pop","Country, Rock, Pop-Rock"
Celtic,"Country, Celtic"
K-pop,Pop psicodélico
K-pop,POP
K-pop,Pop/R&B
K-pop,"R&B, Pop"
K-pop,"Pop, R&B"
K-pop,K-Pop
"Latin jazz, salsa, pop, reggae, funk","Latin Jazz, Salsa, Pop, Reggae, Funk"
"Jazz, Blues, Soul, R&B","Jazz, Blues, Soul"
"Metal, Hard Rock, Rock","Hard Rock, Rock"
"poetry, literary art","Poetry, Literary Art"
"Music, Arts, Food","Music, arts, food"
House Music,House music
"R&B, Hip-Hop",Hip-Hop & R&B
"R&B, Hip-Hop",hip hop
"R&B, Hip-Hop","hip-hop, R&B"
"R&B, Hip-Hop","hip hop, R&B"
"R&B, Hip-Hop","Hip-Hop, Classical"
"R&B, Hip-Hop",Female hip-hop
"R&B, Hip-Hop","Hip-Hop, R&B"
"R&B, Hip-Hop","R&B, hip-hop"
"R&B, Hip-Hop",Hip-Hop
"R&B, Hip-Hop","Hip-hop, R&B, Soulection, House"
"R&B, Hip-Hop",Hip hop
"R&B, Hip-Hop","Hip-hop, R&B"
"R&B, Hip-Hop","R&B, Hip Hop"
Alternative,Alternative R&B
"Rock, Holiday",Holiday
"Rock, Holiday","Holiday, Jazz"
"Rock, Holiday","Jazz, Holiday"
"Musical, Theatre",Musical theatre
"Hip-Hop, Funk, Soul","Hip-hop, Funk"
"Hip-Hop, Funk, Soul","R&B, Hip-Hop, Funk"
"Alternative, Post-punk, New wave","Alternative, Post-Punk, New Wave"
"Alternative, Post-punk, New wave","Alternative, post-punk, new wave"
Folk,"Folk, Andalusian"
Folk,"Folk, Maritime"
"R&B, Hip-Hop, Funk","Hip-hop, Funk"
"Live music, art","live music, art"
"Live music, art","Live music, Art"
"Live music, art","Live Music, Art"
"Poetry, Music",Poetry; Music
Stand Up Comedy,"Comedy, Stand-Up"
Stand Up Comedy,Comedy > Stand Up
Stand Up Comedy,stand up comedy
Stand Up Comedy,Stand-up Comedy
Stand Up Comedy,"Comedy, Stand-Up Comedy"
Stand Up Comedy,"Comedy, Stand up"
Stand Up Comedy,stand-up comedy
Stand Up Comedy,"Comedy, Stand-up Comedy"
Stand Up Comedy,"Comedy, Stand-up"
Stand Up Comedy,Stand-up
Broadway,"Broadway, Disney"
Broadway,"Broadway, Country"
"R&B, Hip-Hop, Pop","Hip-Hop, R&B, Pop"
"R&B, Hip-Hop, Pop","Hip-Hop, Pop"
"R&B, Hip-Hop, Pop","Hip Hop, K-Pop"
"R&B, Hip-Hop, Pop","Hip-hop, Pop"
"R&B, Hip-Hop, Pop","Christian, Hip Hop, Pop"
Rock musical,Rock Musical
Rock musical,"Rock, Musical"
EDM/House/Techno,"EDM, house, techno"
EDM/House/Techno,"EDM, House, Techno"
Alternative rock,"Alternative, Rock"
Alternative rock,"Alternative, Rock, R&B"
"Drag, Performance Art","Drag, Performance"
"Drag, Performance Art",Drag Performance
"Drag, Performance Art","Disco, Drag Performance"
Metal,Metal Music
"Folk, Americana",Folk/Americana
"Music, Latin American","Live music, Latin American"
"Yoga, Dance, Live Music","Dance, Live Music"
"Pop-punk, Alt-rock","Pop-punk, alt-rock, emo"
Alt-country,Alt country
"Parties, dance",Parties
"Heavy Metal, Power Metal, Thrash Metal, Doom Metal, Classic Rock, Metal","Metal, Thrash Metal, Heavy Metal, Doom Metal, Power Metal"
"Art, Workshops",Art Workshops
"Music, Comedy",Music Comedy
"Music, Comedy",Music/Comedy
Hip-Hop,"R&B, Hip Hop"
Hip-Hop,Hip-Hop & R&B
Hip-Hop,hip hop
Hip-Hop,"hip-hop, R&B"
Hip-Hop,"hip hop, R&B"
Hip-Hop,"Hip-Hop, Classical"
Hip-Hop,Female hip-hop
Hip-Hop,"Hip-Hop, R&B"
Hip-Hop,"R&B, hip-hop"
Hip-Hop,"Hip-hop, R&B, Soulection, House"
Hip-Hop,Hip hop
Hip-Hop,"Hip-hop, R&B"
Soul,"R&B, soul"
Soul,"Soul, Inspirational"
Soul,R&B & Soul
Soul,"R&B, Soul"
Soul,"Soul, R&B"
Soul,"Soul, Philly Soul"
"Baroque, Classical","Choral, Baroque, Classical"
"Baroque, Classical","Baroque, classical"
Poetry,poetry
Poetry,"Poetry, LGBTQIA"
"Charity & Causes, Performing Arts",Charity & Causes
"Charity & Causes, Performing Arts","Charity & Causes, Other"
Stand-up Comedy,"Comedy, Stand-Up"
Stand-up Comedy,Comedy > Stand Up
Stand-up Comedy,stand up comedy
Stand-up Comedy,"Comedy, Stand-Up Comedy"
Stand-up Comedy,"Comedy, Stand up"
Stand-up Comedy,stand-up comedy
Stand-up Comedy,"Comedy, Stand-up Comedy"
Stand-up Comedy,"Comedy, Stand-up"
Stand-up Comedy,Stand-up
Film,"Film, Erotic"
Film,"Film, Rock"
"Art, Painting","Art, Painting, Cocktail Party"
"Art, Painting","Art, Painting, Workshops"
"Poetry, Spoken Word","Poetry, Spoken Word, Comedy"
"Poetry, Spoken Word","poetry, spoken word"
"Family & Education, Music","Broadway, Family & Education, Musical"
"Family & Education, Music","Broadway, Family & Education, Music"
Electric Blues,"Electric Blues, Alternative"
"Country, Singer-Songwriter","Country, Singer Songwriter, Alternative Country, Folk"
"Comedy, Stand-up","Comedy, Stand-Up"
"Comedy, Stand-up",Comedy > Stand Up
"Comedy, Stand-up",stand up comedy
"Comedy, Stand-up","Comedy, Stand-Up Comedy"
"Comedy, Stand-up","Comedy, Stand up"
"Comedy, Stand-up",stand-up comedy
"Comedy, Stand-up","Comedy, Stand-up Comedy"
"Comedy, Stand-up",Stand-up
Electronic Pop,"Electronic, Pop"
Electronic Pop,Electronic pop
"R&B, Hip Hop",Hip-Hop & R&B
"R&B, Hip Hop",hip hop
"R&B, Hip Hop","hip-hop, R&B"
"R&B, Hip Hop","hip hop, R&B"
"R&B, Hip Hop","Hip-Hop, Classical"
"R&B, Hip Hop",Female hip-hop
"R&B, Hip Hop","Hip-Hop, R&B"
"R&B, Hip Hop","R&B, hip-hop"
"R&B, Hip Hop","Hip-hop, R&B, Soulection, House"
"R&B, Hip Hop",Hip hop
"R&B, Hip Hop","Hip-hop, R&B"
Alternative metal,Alternative Metal
"EDM, House, Techno","EDM, house, techno"
"Metalcore, Heavy Metal","Metal, Metalcore"
"Funk, Fusion, Pop",Funk Fusion
"Funk, Fusion, Pop","Jazz, Funk, Fusion"
"Funk, Fusion, Pop","Funk, Fusion"
"Poetry, Not provided in source.","Spoken Word, Poetry, Not provided in source."
"Poetry, Not provided in source.","Spoken word poetry, Not provided in source."
"Poetry, Not provided in source.","Storytelling, Poetry, Not provided in source."
"Hip hop, Brostep",Brostep
"Hip hop, Brostep","Brostep, Livetronica"
,
Folk Punk,Folk-punk
"Techno, House","techno, house music"
Soft Rock,"Psychedelic, Soft Rock"
Soft Rock,"Rock, Pop, Funk, Soft Rock"
Soft Rock,"Pop, Soft Rock"
Soft Rock,"Soft Rock, Pop Rock"
Soft Rock,"Soft rock, pop, R&B"
"Indie, Singer/Songwriter","Folk, Indie, Singer-Songwriter"
"Indie, Singer/Songwriter","Indie Rock, R&B, Indie, Singer/Songwriter"
"Indie, Singer/Songwriter","Pop, Indie, Singer/Songwriter"
"Poetry, Fiction, Essays, Memoirs, Plays, Music, Comedy","Poetry, fiction, essays, memoirs, plays, music, comedy"
"Indie Pop, Pop Rock","Alternative Rock, Rock"
"Indie Pop, Pop Rock","K-pop, Pop"
"Indie Pop, Pop Rock","Alternative Rock, Indie"
"Indie Pop, Pop Rock",Indie / Alternative / Rock
"Indie Pop, Pop Rock","indie, alternative"
"Indie Pop, Pop Rock","Alternative Rock, Indie Rock, Pop"
"Indie Pop, Pop Rock","Pop, K-Pop"
"Indie Pop, Pop Rock","K-Pop, Pop"
"Indie Pop, Pop Rock","Alternative Rock, Indie Rock"
"Indie Pop, Pop Rock","Alternative rock, indie rock"
"Indie Pop, Pop Rock","Pop Rock, Indie Pop"
"Indie Pop, Pop Rock","K-Pop, R&B, Pop"
"Indie Pop, Pop Rock","Power Pop, Pop, Pop Punk"
